Event Name,Log Source,Event Count,Time,Low Level Category,Source IP,Source Port,Destination IP,Destination Port,Username,Magnitude
File-Binary_Conflicting-Content-Type-Text-Plain,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:16 PM",Information,82.205.87.215,11126,88.88.88.88,80,N/A,7
File-Binary_Conflicting-Content-Type-Text-Plain,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:16 PM",Information,37.34.83.23,42883,88.88.88.88,80,N/A,7
File-Binary_Conflicting-Content-Type-Text,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:16 PM",Information,82.205.87.215,11126,88.88.88.88,80,N/A,7
File-Binary_Conflicting-Content-Type-Text,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:16 PM",Information,37.34.83.23,42883,88.88.88.88,80,N/A,7
File-Binary_Conflicting-Content-Type-Text-Plain,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:17 PM",Information,46.60.75.231,56481,88.88.88.88,80,N/A,7
File-Binary_Conflicting-Content-Type-Text,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:17 PM",Information,46.60.75.231,56481,88.88.88.88,80,N/A,7
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:17 PM",Information,37.8.87.195,17964,88.88.88.88,80,N/A,7
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:17 PM",Information,37.8.87.195,17965,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:18 PM",Firewall Permit,46.60.110.101,6148,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:18 PM",Information,46.60.110.101,6148,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:18 PM",Firewall Permit,217.78.53.167,44341,88.88.88.88,80,N/A,8
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:18 PM",Firewall Permit,217.78.53.167,44342,88.88.88.88,80,N/A,8
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:18 PM",Firewall Permit,217.78.53.167,44343,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:18 PM",Information,217.78.53.167,44341,88.88.88.88,80,N/A,7
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:18 PM",Information,213.244.118.251,35953,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:19 PM",Firewall Permit,213.244.119.245,61367,88.88.88.88,80,N/A,8
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:19 PM",Firewall Permit,213.244.119.245,40240,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:20 PM",Information,217.78.53.167,44342,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,3,"Feb 19, 2017, 3:02:18 PM",Firewall Permit,217.78.53.167,44346,88.88.88.88,80,N/A,8
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:20 PM",Firewall Permit,46.60.110.101,19265,88.88.88.88,80,N/A,8
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:20 PM",Firewall Permit,46.60.110.101,11527,88.88.88.88,80,N/A,8
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:20 PM",Firewall Permit,46.60.110.101,5132,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:20 PM",Information,46.60.110.101,19265,88.88.88.88,80,N/A,7
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:20 PM",Information,217.78.53.167,44343,88.88.88.88,80,N/A,7
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:20 PM",Information,46.60.110.101,5099,88.88.88.88,80,N/A,7
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:20 PM",Information,46.60.110.101,5132,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:21 PM",Firewall Permit,212.33.113.119,16978,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:21 PM",Information,212.33.113.119,16978,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,9,"Feb 19, 2017, 3:02:15 PM",Firewall Permit,5.102.107.219,49288,88.88.88.88,80,N/A,8
File-Binary_Conflicting-Content-Type-Text-Plain,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:21 PM",Information,188.161.245.122,22632,88.88.88.88,80,N/A,7
File-Binary_Conflicting-Content-Type-Text,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:21 PM",Information,188.161.245.122,22632,88.88.88.88,80,N/A,7
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,9,"Feb 19, 2017, 3:02:15 PM",Information,5.102.107.219,49288,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,26,"Feb 19, 2017, 3:02:11 PM",Firewall Permit,217.66.249.178,35115,88.88.88.88,80,N/A,8
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:22 PM",Firewall Permit,212.33.113.119,16979,88.88.88.88,80,N/A,8
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:22 PM",Firewall Permit,212.33.113.119,16980,88.88.88.88,80,N/A,8
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:22 PM",Firewall Permit,5.102.107.219,49289,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:22 PM",Information,212.33.113.119,16979,88.88.88.88,80,N/A,7
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,27,"Feb 19, 2017, 3:02:12 PM",Information,217.66.249.178,35115,88.88.88.88,80,N/A,7
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:22 PM",Information,212.33.113.119,16980,88.88.88.88,80,N/A,7
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:22 PM",Information,5.102.107.219,49289,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:22 PM",Firewall Permit,46.60.98.63,7866,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:23 PM",Information,46.60.98.63,7866,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:23 PM",Firewall Permit,66.249.66.51,57965,88.88.88.88,443,N/A,8
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:23 PM",Firewall Permit,5.102.107.219,49290,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:23 PM",Information,5.102.107.219,49290,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:23 PM",Firewall Permit,5.102.107.219,49291,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,2,"Feb 19, 2017, 3:02:20 PM",Information,217.78.53.167,44346,88.88.88.88,80,N/A,7
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:23 PM",Information,5.102.107.219,49291,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:24 PM",Firewall Permit,46.60.98.63,15666,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:24 PM",Information,46.60.98.63,15666,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,2,"Feb 19, 2017, 3:02:21 PM",Firewall Permit,217.66.249.178,35119,88.88.88.88,80,N/A,8
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:25 PM",Firewall Permit,66.249.66.51,53754,88.88.88.88,443,N/A,8
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:25 PM",Firewall Permit,46.60.98.63,27844,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,2,"Feb 19, 2017, 3:02:22 PM",Information,217.66.249.178,35119,88.88.88.88,80,N/A,7
Connection_Allowed,Had_Stonesoft Management Center @ 10.160.140.6,27,"Feb 19, 2017, 3:02:16 PM",Firewall Permit,37.8.87.195,17988,88.88.88.88,80,N/A,8
HTTP_URL-Logged,Had_Stonesoft Management Center @ 10.160.140.6,1,"Feb 19, 2017, 3:02:25 PM",Information,46.60.98.63,27844,88.88.88.88,80,N/A,7
